company,rating,title,pros,cons,reviewer_title,reviewer_location,datetime,is_current_job
Encora,4,A Great company to learn and grow,"Good Place to start and learn, Work Life balance",Can improve on internal Process and automation," Senior Manager, Business Solutions", Singapore,24-Feb-21,FALSE
Encora,4,Good employee friendly organisation,"Good work life balance 
Good employee friendly hR and management team",No employee portal for raising requests and no email box for organisation, Unix Systems Administrator, Singapore,24-Feb-21,FALSE
Encora,4,Good company to work for,Professionals and good attitude towards employees,Career growth has to be looked on, Manager, Singapore,28-Feb-21,FALSE
Encora,5,Employee Friendly,A great place to work you can learn a lot and an excellent management,There isn't anything as such, Account Manager," Tampines New Town, ",24-Feb-21,TRUE
Encora,5,Nice place to work,We can learn more and nice and friendly colleagues,NA Nothing from my perspective, Systems Administrator, Singapore,24-Feb-21,FALSE
Encora,5,Excellent services,Encora providing excellent services to their employees,"No concerns, best services providing by encora", Unix Systems Administration, Singapore,24-Feb-21,TRUE
Encora,5,Great place to work,"More opportunity, Great place to work","Nothing, Great place to work", Senior Engineer, Singapore,24-Feb-21,FALSE
Encora,5,Encora Review,"Awesome company to work
Good culture","No any negative comments, Good company.", Database Administrator, Singapore,24-Feb-21,FALSE
Encora,2,Encora company review,"nothing good to say, its a normal consultancy company","they believe in their client , donot care about employees,", Senior Consultant, Singapore,8-Feb-21,FALSE
Encora,4,good Employer,It's good place to work.,No cons I noticed during my employment, Software Engineer, Singapore,9-Feb-21,TRUE
Encora,5,"""Positive experience, support senior management & HR""",Fast response and even from Directors and willing to help,"Non, all was good for me", Mobile Applications Developer, Singapore,15-Dec-20,FALSE
TikTok,5,nil,Fun working environment Great colleagues,1. nil 2. nil 3.nil, Intern, Singapore,8-Jun-23,FALSE
TikTok,2,Talent acquisition team that is supporting Global Product.,"Nice pantry with variety of snacks and drinks. 
Office with great views and good location. 
Decent bento set for lunch. 
1 or 2 of the TAs are actually decent. 
This review only applies mostly to our lead, and some TAs","Context: Sourcers are under 1Y contract, we report directly to the Talent Acquisition (TA) Lead. And we support the full-time TAs in helping them to fill their openings. 

High Turnover: 
- 5 sourcers resigned in 2 months, it shows something. 
- 1 employee was abruptly fired without an official reason, receiving notice from the agency instead of from our own lead. 
- Various reasons circulated among full-time TAs, including ethnicity and performance issue, which does not make sense. Any logical and fair leader would give their employee a feedback first or at least have a review/warning period, right? Nope. Just straight up terminated. 

Poor Leadership: 
- Our lead demonstrates a lack of understanding of talent sourcing work and leadership. She is a manager. Not a leader people would want to follow. 
- During a recent 1-to-1 meeting, our lead expressed worrying remarks on the sudden departures of employees. Quote 'I’m very happy about those people who left. I don’t need them anyway. They are not performing. They lack resilience and they’re unable to take stress.' 
- If this sort of remark can come out from your leader, you know what type of environment you’ll be working in. 
- Despite being on medical leave, you might still be expected to attend meetings and meet targets. And your targets remain the same. 

Out of Touch Leader and Unrealistic Goals: 
- cut-throat, competitive agency-style team environment. 
- our lead is disconnected from the complexities of talent sourcing, prioritizing numbers without considering role nuances, changing EP requirements, drying of candidate pool, or increasingly demanding hiring manager expectations due to reduced headcounts. 
- The work environment lacks collaboration and support, promoting an individualistic culture. 
- KPIs are set based on past top performer during a time when headcounts were plenty, and hiring managers were lax on the expectation, leading to unrealistic goals for sourcers. 
- Some of the set goals lack coherence, favoring quantity over quality just so she could show-off the raw numbers to her higher-ups and compete with other TA teams. 

Sourcer Responsibilities and Lack of Recognition: - As sourcers, our job scope extends far beyond the traditional definition of SOURCE-er. On top of just reaching out to candidates to receive and shortlisting CVs (like what a sourcer should do), we also need to conduct exploratory & interest call, candidate interview prep, follow up with hiring managers for feedback, follow up after each interviews, requesting referrals, providing regular pipeline updates to hiring manager, do talents mapping, and even assisting TAs in explaining unattainable targets set by themselves. Basically full process except making offer to candidates. 
- We have a new KPI to invite 6-8 engineers from top companies for 'lunch networking' each month. Isn't that a TA job? 
- Despite being titled sourcers, we are performing the 'Talent Acquisition' scope of work with much lesser remuneration and job stability. Meanwhile, the full-time TAs often complain about their workload without producing tangible outcomes or initiatives from their endless 'meetings'. 

Contract Renewal Challenges: 
- There is no opportunity for contract sourcers to transition into permanent positions. Contract renewals require constant chasing and begging, accompanied by lengthy report justifying why we should be renewed and highlighting our achievements. One of us only get our renewal contract signed 1 day before it lapse. 
- Progressing to become full-fledged TAs within this team is impossible, as the current full-time TAs will not leave (who would leave a good paying job that allows you to dump all your work on sourcers and only do salary offer?). 
- For context, 0 full-time TAs left since 2021, and 9 Sourcers (within 10 months) resigned. I wonder why. 

Bi-annual Performance Reviews: 
- The company-wide bi-annual performance review process last 2-3 weeks. 
- During this period, full-time TAs become exceptionally nice because they need reviews from ten individuals they closely collaborate with.
- Unfortunately, this review period disrupts operations significantly. Hiring managers neglect their piled up resume evaluations, and scheduling interviews becomes challenging as interviewers prioritize their performance reviews. Each review is an extensive two-page essay, requiring ten reviews from one another, adding to the workload. 
- Meanwhile, our targets for resume evaluations, introductory calls, and offers remain unchanged, further straining our workload during this time.", Recruitment Sourcer, Singapore,15-May-23,TRUE
TikTok,1,China culture as 95% are from there,Good benefits and competitive salary but at risk of 0x variable bonus,"#You probably have to work outside working hours, worst case after midnight (oncalls). But its not considered in your performance as management don't think its hard work. #For non-Chinese speaker, its not the right company as all of them speaks Chinese #Chinese speakers will get high-performance reviews (good bonus) whereas non-Chinese speakers need to work double hard and will get underperformance (no bonus) #Management don't give a zhit about your miseries of being not able to understand chinese documents #Chinese speakers is able to understand documents and PM requirement quickly as they all speak same language #If you don't speak Chinese, steer away from this company or there is a high chance you will get PIP", Backend Software Engineer, Singapore,24-Apr-23,TRUE
TikTok,1,Worst Team Ever,"Honestly, nothing much maybe the pay is competitive","- Super agency work style here, if looking for in house recruitment, don’t go - Boss don’t really care about the team, she only look at numbers - The boss is discriminating (to think she is in recruitment sector) where she send messages to the whole department in Mandarin instead of English ( Also backup the part of a super China company) - The team is well known in the company as the worst TA team (think mainly because of the boss K where any problem you have, she will just read and no reply) 5. Highest turnover for the TA will be the team", Talent Acquisition, Singapore,10-May-23,FALSE
TikTok,3,Competitive culture,Free lunch and very good compensation package,"All the teams have different OKRs, it’s hard to collaborate when there is no common goal within the company", Manager, Singapore,5-Jun-23,TRUE
TikTok,3,Decent but intense,Good snacks and insurance coverage,You will need the insurance to recover from work, Software Engineer, Singapore,7-Jun-23,TRUE
TikTok,1,TA at Global Product,Good office and good company brand i guess.,"You know the saying - ""Never meet your heroes""? Yeah, after joining Tiktok, even using the app itself left me a bad taste in my mouth. 

Culture 
The culture at the GPRD TA team is super bad. You would think that a giant organization like TikTok is globalised but no. Meetings, documents and conversations are conducted in Mandarin Chinese even if there are people/minorities who do not understand the language. A

s someone who first joined the team, I could feel the segregation between the permanent employees and the contract staff. As a contract staff, you are treated like a peasant. On my first day, they gave me a nasty look when I was introduced to them, as if I was an annoyance. Very good first day experience! 

Diversity & Inclusion This is a joke.
As someone who did recruitment in this team, I can tell you that fluency in Chinese is an implicit requirement. Good luck to people with resumes that do not state that outright, because there's a lot of recruitment biases going around. 

Recruitment Strategy 
The recruitment strategy for this team is very straightforward. Spam everyone! You know those WhatsApp/Phone scammers? Guess what, this TA team is more persistent than them. Not replying to them out of lack of interest? Expect another message in 1/2 days. 

Without a doubt, this is a full-on agency environment. Brought in by the lead and maintained by the TA Partners, it's all about the numbers. People are sending random resumes to irrelevant roles just to boost their numbers. Oh and please if you join this team, please please keep track of your candidates that you entered into the system. People are always watching and will snatch from you once the locking period is up. 

All of this is because of the team culture and focus on numbers. Do well and they will clap for you, ""Top Performer of the Month"" and then it's back to spamming candidates. 

Everyone is burnt out and tired, there are a finite number of candidates that fit the criteria. I really doubt software engineers are born into this world every minute with full grasp of their tech stack that can sustain this insane recruitment strategy of spamming people and passing them around positions like their tissue paper.", Sourcer, Singapore,18-May-23,FALSE
TikTok,3,Average,good teammates and work life balance,no opportunity and poor leadership, Content Moderator, Singapore,7-Jun-23,FALSE
TikTok,5,Good,Flexible work scope to explore different opportunities,Don’t event think about work life balance," Project Head, Operation Head", Singapore,5-Jun-23,TRUE
TikTok,4,great place to try out working,"good team members, staff benefits, satisfactory pay","high turnover rate is common, doesn’t hire fresh graduates and little to no conversion for interns", Intern, Singapore,30-May-23,FALSE
TikTok,1,Not a place to be... avoid if possible.,"TikTok is experiencing high growth and has a high level of visibility, which means that there are plenty of exciting opportunities to get involved with. Additionally, the company is continually expanding, which creates many chances for personal and professional growth.","I worked at TikTok for a period of time, and unfortunately, I had a very negative experience. The company not only lacked diversity, but the HRBP team was also non-existent and showed a lack of empathy. Additionally, the remuneration was unsatisfactory and didn't reflect the level of work that was expected of me. Overall, I would not recommend working at TikTok. 

Try to Google and watch some YouTube videos and you will pretty much get a sense of what you are getting yourself into.", Client Servicing, Singapore,26-Apr-23,TRUE
TikTok,5,TikTok SWE Intern Review,"Work is interesting, friendly people",Sometimes workload can be high, Intern, Singapore,30-May-23,TRUE
TikTok,5,Great company to work with,"Great benefits, nice work environment, and many fun activities.","Depends on the team, some team might have long working hours", Frontend Software Engineer, Singapore,26-May-23,TRUE
TikTok,5,Challenging place,Competitive and fast paced Good insurance and welfare,Too much Chinese speaking OT, Software Engineer, Singapore,26-May-23,FALSE
TikTok,5,Great place,"Everything, free lunch and great environment","Nothing much to comment, overall is good", Sales Manager, Singapore,26-May-23,TRUE
TikTok,3,Gist of TikTok employment,"Flexibenefit and Lark are the only few things great. If you are looking for a place as a first job, this is a great starting point with great benefits.",Communication breakdown Chinese culture elitism when talking to engineers in HQ. Very evangelistic on Bytestyles but few walk the talk., Project Manager, Singapore,11-May-23,FALSE
TikTok,4,Good place to work,"Free lunch everyday, beautiful office in CBD","Management had no direction, constant re-orgs happening.", Data Analyst, Singapore,21-May-23,FALSE
TikTok,3,Good company but lacks growth opportunities,Plenty of exposure to industry insights,Lack of recognition and career growth Very fast paced with little direction, Team Leader, Singapore,18-May-23,FALSE
TikTok,3,High Growth Opportunity,"Fast paced, lots to learn","Messy and unfocused vision, little regard for staff morale", Marketing Manager, Singapore,23-May-23,FALSE
TikTok,4,Gen Z’s heaven,"Shift work depending on your market, but pretty flexible if you’re stufying part time- stabdard swap a shift as long as you can find someone to swap with one that fitd your needs","some hours are a little hard to work around, for example 3am to 12noon, have to work on weekends and with those hours, your off days are barely a full day.", Advertising Audit Specialist, Singapore,29-Apr-23,TRUE
TikTok,3,work is tight,"Benefit is good, have free lunch.",we no work life balance., Software Engineer, Singapore,21-May-23,TRUE
TikTok,1,Tiring,lot’s of impactful projects to work on,"Long working hours, so tiring", Software Engineer, Singapore,31-May-23,TRUE
TikTok,3,Good for new graduate,Good for new graduate. Can gain rapid growth.,Growth path differs a lot across department., Product Manager, Singapore,15-May-23,FALSE
TikTok,4,Good benefits but mundane. Metrics based working culture,Not much of micro management. Good benefits. Hybrid based.,"Highly metrics based working culture. Mundane overtime. Might feel unjustifiable with work alignments and helpless management. Besides day-to-day work, got to be a suck up towards management and be highly active in creating initiatives in order to 'shine' in the team.", Content Moderator, Singapore,24-Apr-23,TRUE
TikTok,5,Not bad,Great environment for learning and upskillign. Great colleagues,"Same across similar industries, not different", IT Specialist, Singapore,11-May-23,TRUE
TikTok,5,A great place for learning,"- I'm lucky enough to be in an amazing team, full of fun people (your mileage may vary) - Challenging yet supportive environment conducive for learning - I get to propose my own ideas even as a junior (again, your mileage may vary)","- Language barriers may be challenging - Cultural differences may come as a shock - Work-life balance (it really depends on your perception, I don't regard it as a con but I'd wager its safer to list it as a con)", Mobile Developer, Singapore,30-Mar-23,TRUE
TikTok,2,Poor Leadership and new hired landing,Packages slightly higher than industry standard,"You must know how to speak and wrote Chinese, most of the employee are still remote from china. Follow the same china working patterns and lifestyle. No WLB.", Site Reliability Engineer, Singapore,1-May-23,TRUE
TikTok,5,Great career opportunities,#NAME?,#NAME?, Trust & Safety, Singapore,9-May-23,TRUE
TikTok,4,Pros and Cons,Benefits and Welfare for majority,Career progression is slow for many, Content Moderator, Singapore,8-May-23,TRUE
TikTok,5,Na,Good colleagues and helpful tools,Fast pace environment and fast and fast, Client Solutions Manager, Singapore,9-May-23,TRUE
TikTok,5,Great opportunities for growth and excellent culture,"- Bright peers to learn and receive guidance from especially in the earlier stages of one's career - Hyper growth pace and global scale provides great environment to learn, grow and gain exposure - Affable and inclusive colleagues that make collaboration within and across teams enjoyable - Great compensation and benefits",#NAME?, Software Engineer, Singapore,1-Apr-23,TRUE
TikTok,4,Good Benefits,Fast changing envirnoment and more opportunities,Worklife is hard to achieve balance, Sales, Singapore,8-May-23,TRUE
TikTok,5,Good mentorship,"Learn a lot, good mentorship","Slightly stressful work culture, sometimes documentation is in mandarin", Software Engineer(Internship), Singapore,2-May-23,FALSE
TikTok,2,Your worth = Data,- Holiday gifts/Company Merch - Catered Lunch - Well-stocked pantry - Good benefits (Equipment claims etc) - One-stop shop software (Lark/Feishu),- Management weren’t providing enough support to employess. - Setting unrealistic goals and constantly comparing between employees. - Internal transfers are encouraged but the process takes at least 5 months. - Department specific: Not being able to APPLY for an internal transfer without getting approval from TL+HR+Dep Head. Other departments just have to inform TL after application. - Really unhealthy competitive & toxic environment due to unrealistic goals. - Your worth is based on data. - Dep head spews vulgarities on a regular basis & runs the department military style., Anonymous Employee, Singapore,31-Dec-22,FALSE
TikTok,4,work in TikTok,"flexible, fast speeding, a great place for new grad to learn","sometimes OT and tiring, communication efficiency is not high", Algorithm Engineer, Singapore,21-Apr-23,TRUE
TikTok,3,no work life balance,"the office environment is good, free lunch","the working ways are not standardized, the team is too young, no work-life balance", Policy Officer, Singapore,17-Apr-23,FALSE
TikTok,3,Limit scope,Learn how to argue very well,Don’t learn a lot of technical skills, Data Engineer, Singapore,22-Apr-23,TRUE
TikTok,5,A great place for growth and learning,1) Great opportunity to learn and grow 2) Smart people around you 3) Perks and benefits are not bad 4) Work life balance is getting better,1) Ambitous goals from management -> fast pace and stretch targets 2) Still may struggle with work life balance 3) Inconsistent hiring standard -> you have great talents around you but not all of us, Client Partner, Singapore,1-Mar-23,TRUE
TikTok,3,Silently 996,"Catering, free snacks and drinks, good coffee machines","Depends on the team youre with Expects you to OT, expects lots of after work msg, office politics", Prefer To Remain Anonymous, Singapore,12-Apr-23,TRUE
TikTok,5,Intern pay,free lunch and good pantry,Don’t really have cons tbh, Internship, Singapore,19-Apr-23,TRUE
TikTok,3,"good facility, snacks and drinks even lunch provided! fast paced company",-WFH 2 times a week (depending on the dept) -snacks and drinks provided -unlimited coffee & tea -lunch provided -decent benefit,#NAME?, Project Manager, Singapore,29-Mar-23,TRUE
TikTok,5,Really good workplace env,Flexible working hours/ good workplace env Nice superiors Opportunities for development,"Nothing bad really, my experience was great", Communications Intern, Singapore,10-Apr-23,FALSE
TikTok,4,Good,Friendly and patient colleagues that are experienced too.,Not many things to say since its part time., Part Time, Singapore,10-Apr-23,FALSE
TikTok,5,Interesting Place to Work,Good for development especially as an intern,Still a fair bit of teams that are closely linked with China teammates meaning some roles require some fluency in Mandarin for discussions., Product and Process Analyst Intern, Singapore,27-Mar-23,FALSE
TikTok,5,Good culture and work pace!,People are friendly and energetic. Day-to-day work is full of challenges.,Canteen food is not good., Talent Acquisition, Singapore,4-Apr-23,TRUE
TikTok,3,It's alright - your experience will be a matter of luck,"- Annual 2.5k flexi-allowance to be used on gym memberships, medical not covered by company insurance, etc. - People are nice if you are lucky to have a good team","- Many meetings during non-office hours, sometimes 9-11pm timings (but depends on your scope) - Existing employees have to go through the same process as external candidates if looking for internal mobility - Reorganisation of teams/departments every 6 months - No discussion of salary expectations. After final interview I was requested to provide last 6 months' payslips, and the offer was based off that amount, non-negotiable. - No stock options/RSUs/etc.", Business Operations Specialist, Singapore,4-Jan-23,TRUE
TikTok,4,wlb in my team,"wlb in my team, barely work overtime",speak both Chinese and English, Tech Lead, Singapore,5-Apr-23,TRUE
TikTok,4,"Fulfilling Career, Enriching Experience, Long Working Hours","Fantastic compensation, great and supportive colleagues, got to travel around the world to connect with XFN teams, and good working exposure that pushes you out of your boundaries to learn more every day - Not a day spent at TikTok getting bored.","Very long and tedious working hours. For people who are planning to start a family, this is not a place for you to be in.", Regional Manager, Singapore,31-Jan-23,FALSE
TikTok,5,Great Internship,"Great place to be. Learn a lot so far. Work balance is good, they do not care about clocking in and clocking out. The full timers are good mentors.",The catered food is not the best., Software Engineer(Internship), Singapore,18-Mar-23,TRUE
TikTok,2,good pay but very stressful,"salary is good, benefit also good","but very stressful and super busy, no personal time", Team Leader, Singapore,22-Mar-23,TRUE
TikTok,5,Community @ TikTok,"great colleagues, decent pay, great working hours, very motivated",no real downsides to the job, Community Manager Intern, Singapore,27-Mar-23,FALSE
TikTok,4,nil,Decent remuneration package and opportunity to grow,Some departments are heavily mandarin-speaking environment., Finance Officer, Singapore,29-Mar-23,FALSE
TikTok,4,Good benefits,"- Insurance, dental, health checkup - Team building budget - KPI bonus, spot bonus…",#NAME?, Training and Quality Specialist, Singapore,6-Mar-23,TRUE
TikTok,4,Good Learning Opportunity,Good Learning Opportunity Good Team Travel Opportunities,Quite busy during peak periods, Data Analyst, Singapore,19-Mar-23,TRUE
TikTok,4,"Software Engineer, Data Platform","learn robust distributed data system, in-house built and open source",#NAME?, Sotfware Engineer," Tampines New Town, ",8-Mar-23,FALSE
TikTok,3,Culture,Brand name company with good reputation,Working shift hours Culture dilution since HR screening process is easy, Global Monetisation, Singapore,11-Mar-23,FALSE
TikTok,5,Culture,Diverse and multi-cultural environment. Promotes openness which helps in day to day work,Things are messy and at times difficult to maneuver to get things done., Operations Manager, Singapore,26-Feb-23,FALSE
TikTok,1,Stay away,"Good pay and benefits, but no time to use","No WLB, diversity Bad leadership Toxic", Project Manager, Singapore,1-Apr-23,TRUE
TikTok,5,Great working culture,"Young but experienced team. Everyone is very open to share and help each other. Work is efficient with internal communication software instead of drafting long emails, resulting in quick turnaround time. Lots of perks and benefits, including a great pantry.","Management is skewed towards ex-meta/ex-google employees, that parachute in, instead of internal promotion.", Customer Success Manager (CSM), Singapore,19-Jan-23,FALSE
TikTok,5,Good company,Nice compensation given by company,Minimal work life balance in company, Software Engineer Intern, Singapore,8-Mar-23,FALSE
TikTok,4,Good benefits but fast paced environment,"Good benefits: free food, good insurance package","Stressful and fast paced, difficult managers", Software Engineer, Singapore,28-Feb-23,TRUE
TikTok,4,1 year experience in TikTok,#NAME?,#NAME?, Program Manager, Singapore,26-Nov-22,TRUE
TikTok,5,Good place,"good work atmosphere, can learn a lot.",No big cons. Maybe the lunch is just so so., Intern, Singapore,24-Feb-23,TRUE
TikTok,5,Internship,high learning environment inclusive Encouraged to take charge of own learning Competitive Salary Welfare and benefits,Fast paced Long working hours, Internship, Singapore,21-Feb-23,FALSE
TikTok,1,Terrible culture,offers competitive compensation packages and benefits to employees,Totally Chinese culture lot of internal communication in Chinese. terrible management/work-life balance, Data Scientist, Singapore,19-Mar-23,TRUE
TikTok,3,Average,Decent office pantry and lunch provided. Colleagues are fun-loving.,Processes at work are everchanging. Worklife balance can be challenging for those that struggle to cope., Talent Acquisition, Singapore,17-Feb-23,TRUE
TikTok,2,Messy,Young workforce Many opportunities (due to random initiatives and ideas),Too many dead weight No clear strategy Inexperienced leadership, Product Manager, Singapore,23-Feb-23,TRUE
TikTok,4,Good for growth,Modern tech stacks and high IQ teammates,"Must try hard, sometimes burnout", Software Engineer, Singapore,24-Feb-23,FALSE
TikTok,4,asd,lot s of benefit for an employee,tons of work and also lots of stress, Software Engineer, Singapore,16-Feb-23,FALSE
TikTok,2,depends,"big tech company, lots of opportunity",depends on the group and leader. Some really sucks, Data Scientist, Singapore,5-Feb-23,FALSE
TikTok,1,"Toxic culture, incompetent team leaders, Top-down management, avoid Chinese Company!",1. You get to work with young and talented local professionals; 2. Chances to take more responsibilities and learn from the job itself if you do not mind no work-life balance.,"Where do i begin? My list goes on... 1. Horrible talent management, they copy western companies' OKR and 360 degree performance review system, but TikTok leaders manipulated it in a way that you have to please your leader huge in order to get a good bonus as your 360 rating determines how much your bonus will be. That of course leads to a very top-down Chinese imperial management style. 2. Salary. HRBP and the team leads will try to negotiate so hard with you on your salary by leveraging the name TikTok which many believes it's the next Meta, but let's be honest, how far can TikTok go if they have a top-down management culture and bring in talents who later realise they're all underpaid? 3. Team leaders. Many of them are young and incompetent, they're in the lead position either because they know how to please the management or they are the loyalist, therefore, the more experienced talents will suffer big from inexperienced leads and unprofessionalism, they will feel very little chance to exceed unless they become a loyalist too. The team leaders' goals are very much for 360 performance review NOT because they want to bring impact, build a strong team nor nice culture. 4. Benefit. Many thinks employee benefit is good here, well, it maybe the case when the company was small and new here, it has been reducing employee benefits since ever, starts from hard salary negotiation by count in every cent of your flexible benefit and 3 months bonus you may or may not get (depends on how much your leader wants to give you), cheap lunch and snacks that are in trend to become worse due to cut in operation expenditure. 5. Corrupted leaders. Sexual harassment and hostile working environment are quite common, as mentioned, the result of a leader-pleased culture. 6. Resignation. This is a funny one. Let's say if your notice period is one month from 1 Nov to 30 Nov, then you agreed with HRBP to have your last day on 15 Nov, but you do not get paid for 1 Nov to 15 Nov in the end, because you need to pay back to TikTok for the shortened notice period from 16 Nov to 30 Nov! This is the most ridiculous policy i have ever experienced in my life... 7. Future outlook of social media platforms. In overall, weak moat for social media platforms like TikTok, look what happened at Meta and Twitter... TikTok has been expanding in oversea without a concrete plan since 2019, they do not even have headcount projection for each year, which means they could over hire without control. TikTok as the very few APPs that generates revenue, in current economic downturn, ad revenue will shrink, and when a Chinese company cuts its headcount, it can be brutal without anything like Meta gives employees 16 weeks salary, refer to what happened in tech sector in China. 8. My final advise, choose western companies over Chinese companies, for your own value system and mental health. TikTok may try to build its branding, but not if they understand the value of human dignity and respect.", Project Manager, Singapore,14-Nov-22,FALSE
TikTok,5,good benefit,"Benefit is good - free lunch, annual flex benefit, world class medical insurance",it really depends on which team you're in and what kind of person your manager is., Project Manager, Singapore,9-Jan-23,FALSE
TikTok,3,"Good Career Opportunity and Brand, but Low Compensation and Poor Leadership","1. Strong Brand Name - very attractive to future employers. 

2. People - some great people! Everyone is very helpful and collaborative from day 1. 

3. Impact and Scope - The roles are brought and wide allowing for a lot of great projects to work on and stretch yourself. You can build amazing profile and achievements. 

4. Daily food allowance and a lot of SWAG

5. Projects - a lot of problems to solve which will build your skills and experience.

6. Super fun and awesome user product.

7. 100% WFH and flexibility, until recently.

8. Speed - great start up speed that is maintained. You will learn to get things done and work fast. 

9. High performance environment.

10. Incredible collaborative tools and cloud solutions making collaboration amazing and easy. You can work from any device with easy.","1. Low Compensation: 
- TikTok pays WAY less than FAANG closer to Tier 3 companies. 
- No COL adjustment and only top performing staff get annual increments, based on “perceived performance”. 
- Only ex-FAANG employees are paid well and have RSUs. The rest are underpaid. 

2. Poor Benefits and Insurance - the benefits are below standard and the insurance is bad for a supposedly leading tech company. 

3. Poor Management and Leadership: 
- Many of the senior management are ex-FAANG ICs who are given huge portfolio in TikTok. 
- In APAC, senior leaders can be incredibly rude. 

4. Heavy Perf Review Cycles: 
- Heavy perf cycles every 6 months with low pay adjustments, if any.
- There is no clear guidance on what is high performance. 

5. Secretive and Non Transparent: 
- Nothing is shared with employees and most FTEs are treated like contractors with even basic business data kept private or not allowed to be seen. 
- No pay bands are shared or explained. 
- Leaders do not answer questions in town-halls. 
- The employee survey results are kept secret and not shared even with mid-management.

6. Lack of Investment in the Employees: 
- The company has no Talent and Development team 
- Poor training team 
- No education reimbursements. 
- No rotation programs are available, either. 
- No mentorship programs. 
- No communities 

7. WLB 
- It varies between teams, however overall it is intense. 
- Often you have to do 2 jobs at the same time with the low pay (see #1).
- Your calendar blocks and time is often not respected. 

8. Disorganised: 
- Very disorganised with re-orgs creating teams with no clear roles. 
- Frequent changes of direction, leaders and strategy. 
- Many overlapping teams and roles. 
- Mostly 2 months planning and very frequent changes. 

9. No Care for Mental Health - no insurance coverage or care of your mental health and how you feel. Management only cares about revenue. 

10. High Attrition and Decline in Talent 
- Attrition is high with average tenure around 1.5 yrs with some leaving in 2-4 months time. 
- The company has started to hire mediocre people, at best, or open positions internally only, since they’re can’t afford external candidates in this market.", Monetisation, Singapore,7-Jun-22,FALSE
TikTok,4,Tiktok review,Best for internship in term of salary and experience,quite competitive and hard to secure an internship, Software Engineer, Singapore,16-Jan-23,TRUE
